Sensor_ID,Warehouse_Location,Product_ID,Stock_Level,Update_Timestamp
0b195aa4-7559-4b52-8350-d723e67b8dd3,East Jodietown,1012,173,2024-03-13 23:52:43
b511b5e1-ae68-404e-9d29-4d286ca9975c,Carlton,1015,101,2024-09-12 16:02:32
769e488c-307d-49d2-8f38-da1a3cf92005,Nicolefurt,1018,2773,2024-10-08 02:30:35
b1b5e7ed-42c3-47eb-9a91-6eab009c494e,Lake Gordon,1015,1950,2024-06-23 16:50:45
bd658ec9-4109-4df4-8d33-c83f3833c5bc,East Alice,1036,4394,2024-12-09 10:23:48
9a039f55-2a4f-4646-9165-b20b0c2c67ba,West Mitchell,1012,212,2024-09-05 10:37:50
f1650d1c-a87b-461c-8070-f4b4a7d6c8ca,South Ross,1007,3632,2024-11-23 01:34:59
654f08cf-8849-4a68-acdb-e8096eaad2f6,South Gillianberg,1008,4681,2024-02-12 20:41:07
5b982112-c1f7-44fb-848f-51f7d26d3db9,West Michaelshire,1013,3709,2024-08-28 14:58:55
9332d787-2b50-4d7a-8afc-b16b8ed9c8f4,Lake Vincenttown,1043,3265,2024-08-28 19:00:39
21719f99-69b0-418a-8dfe-9132d9cce058,West Rhys,1050,2907,2024-09-30 05:45:34
87d905c2-0669-465e-84b9-9141c71497d7,Amytown,1047,4340,2024-10-19 08:14:17
fcaaf23d-3372-4e57-8306-4712cfef79de,Johnsonside,1005,2665,2024-03-15 23:04:41
a7c9d3ae-2a86-4b51-a879-8faf48646f46,South Holly,1031,958,2024-09-15 09:27:53
e320fb92-a50d-4043-a230-6f773add281e,West Terence,1033,1615,2024-12-07 23:01:23
8854c357-536b-400f-bcea-3dec52fac7b8,New Rachael,1044,3992,2024-09-10 14:37:36
26952bfc-05ef-4060-be9f-08287b9db9fd,Fionaview,1004,1722,2024-05-24 16:38:41
f5e50a7f-c8d8-48a7-b46e-42c2205530fa,South Dennis,1044,2529,2024-03-20 07:20:15
f21a34ba-c2db-447e-84ef-f992dd96ee20,Smithshire,1025,1370,2024-11-24 10:25:14
50216401-2f68-4c86-9778-814759d1be0e,Bryantmouth,1006,2179,2024-08-03 11:12:17
9a1d4e7a-f474-495a-bc7c-e1052ed4435e,Daviesfurt,1007,370,2024-11-15 22:37:27
6895f21a-9a57-4627-aaad-92f575c67898,West Jasminehaven,1028,484,2024-11-10 19:19:31
a210e922-e733-443d-9be3-85083c586068,Taylorland,1032,1849,2024-07-21 13:07:19
64fb3311-ba57-439c-a361-173a5a766a62,North Natalie,1026,1029,2024-02-20 15:10:03
7efd8b7f-6b5b-41e0-86b5-04ba567d2a25,South Donaldburgh,1020,3411,2024-03-15 22:16:00
12ebf049-c5b7-4e61-abb0-9842908814bc,Wademouth,1021,847,2024-05-07 04:40:11
4fe2f0a4-a554-4788-a1f7-ad4865fe0d7c,North Adamburgh,1047,2931,2024-06-04 05:07:16
8e10210f-a9e9-427e-950d-575da74ffdc5,West Kerry,1015,3720,2024-01-07 03:50:01
c997f704-d8dc-4156-9aab-214cc4605868,South Rickyton,1038,4917,2024-05-20 09:03:18
edf8ef2e-1bd2-4f0c-b101-e9145e37c3b5,Port Christianhaven,1034,3013,2024-07-07 05:33:39
5516d104-f4a4-44cc-b530-3c8d0377b971,East Liamstad,1001,913,2024-06-06 13:18:22
bdb6a9af-f4fb-4bbb-b9f7-30d7647bffa6,Hewittberg,1033,240,2024-01-25 14:15:57
6237c450-7726-42e8-83b5-45da36e5a9e5,Thompsonborough,1041,3474,2024-07-25 11:58:28
1d4197a1-c026-4d59-876c-126953abb86a,Lake Graeme,1019,417,2024-10-14 12:53:45
a5062c1e-52dc-4c4b-9596-d428904d59c1,Janicetown,1045,743,2024-07-16 22:45:32
134dd236-be5b-4d47-b66b-fa2cab1609a6,Joshuaberg,1023,4944,2024-12-03 23:33:12
eb4ee0d4-c66e-4ced-aae4-679a2e437d8d,Antonychester,1015,311,2024-02-16 23:01:22
382c2584-753e-441d-b168-dd4d40f5b4c3,Lake Janice,1046,2772,2024-10-02 20:06:53
ee650821-8b3f-4aa2-a0ff-afed0a10946c,East Graeme,1020,2813,2024-01-06 22:18:22
2cd48e76-fcc4-4990-8c77-3c70116883e2,North Lisa,1050,1081,2024-02-06 23:26:12
2718700e-26ad-499c-805e-59f0fde90f0d,New Dominicfort,1020,2471,2024-02-22 11:10:25
5e75ed4c-ba04-4082-8cab-def77f7abbce,West Abigail,1017,1547,2024-05-29 19:44:05
3b40e1de-b136-4303-824b-3648254ca6b0,Port Georgia,1031,2203,2024-03-29 02:31:31
efdb7309-7942-4eb4-9765-2ea4367f1f65,Parkershire,1027,4736,2024-09-17 18:25:34
975f092c-8601-4d0b-bc55-a92ba931a7a7,North Terenceborough,1017,886,2024-07-11 16:09:24
77e26391-e38b-45e0-a421-1f2390c3e0c1,Port Christine,1027,212,2024-04-24 17:46:34
bb954751-fa8b-4ff1-bc6f-13398429fb04,Singhborough,1015,3005,2024-05-04 19:05:48
a4bc0934-6daf-404d-a377-d5d5b3847201,Walkertown,1033,4151,2024-02-20 22:46:42
bdbc8ca8-dca3-4cee-8a7a-db56fccccd8f,North Shirleyland,1003,1129,2024-03-28 03:13:26
f8ca1c84-c9eb-4210-96d3-52cec2ccb2f2,Ahmedburgh,1019,3260,2024-06-03 15:03:42
7445ae64-e524-49ed-9aaf-f3d421d04c07,Port Arthurport,1027,1599,2024-02-28 22:06:13
7e454b42-fbd7-40fc-9725-25148b597bb1,Port Chelseatown,1034,4951,2024-11-30 15:23:08
c0ac0b9f-7354-48d4-9304-0b7a526ac781,South Elizabeth,1009,2804,2024-07-15 04:14:47
1d6bf98c-2135-4457-9d6e-d272034c968e,Archerhaven,1019,1532,2024-02-17 15:30:20
d54d11aa-e431-4cdc-b8f1-57e33e7d44ae,Harrisonside,1021,3331,2024-01-21 07:43:18
2b4420eb-7257-4127-9486-67191e7049f8,Ellisville,1038,577,2024-01-10 19:16:30
c32d93bd-c6c8-43c3-9e80-4121d790d275,Lake Joan,1037,2699,2024-03-29 00:19:01
d44f4377-be39-4405-be52-aaeea4d00fc4,Davisside,1046,924,2024-11-08 03:24:52
26ebeb6d-914c-404a-b386-f71925f68d61,Shahmouth,1031,610,2024-01-03 03:51:51
8dc7b00b-4596-4204-a7dd-6d303003f881,Smithfurt,1006,104,2024-07-10 03:00:09
9455544d-c6e2-48b0-a5fc-3a053d3d7bc3,East Nathan,1037,3343,2024-10-21 01:48:11
94ed35c2-1f5a-46bf-8062-247ddb9e6b92,North Tracy,1026,2051,2024-03-03 17:58:02
10a3f564-c9cb-4c4c-bad4-2e4b3c8ed304,Williamsport,1043,4615,2024-09-04 21:34:19
797bfe2f-f4f3-48d1-830c-d83fdc0a2c4b,Gemmaland,1036,1401,2024-04-19 04:27:43
ae684499-4d22-4c53-8ef4-e009681629c6,Lordside,1004,3750,2024-02-28 23:48:26
6dcc2674-d352-4901-891d-845b34bc8ea1,Sinclairchester,1016,1140,2024-06-15 18:56:18
00b676de-3ae2-4358-8271-49a9af88b3dc,Naomihaven,1012,1699,2024-05-22 18:04:55
24b68953-f266-4903-a40e-87528413b649,Jakeville,1039,4818,2024-05-24 21:44:44
05ee6c5e-e8df-46c5-a4d3-9bcbd5a56d5e,Bethfurt,1048,4516,2024-05-23 12:49:11
bd9eabf5-70aa-4222-8a25-911ad9fe7321,Mauriceton,1034,1428,2024-01-17 19:02:53
772f31a3-3be9-4dba-89f1-aca1cd286358,Helenton,1016,9,2024-11-11 17:57:54
dc25f1fe-dac2-4f24-b38e-7dc7dfc8e284,West Ryan,1002,121,2024-05-30 16:28:14
64f2d4f0-78b5-43b2-9408-ac733e821fa8,Dianaland,1010,3122,2024-08-21 23:21:29
f011631b-659e-423c-b76c-e4ce9a00a82e,Port Louis,1026,1767,2024-05-23 19:47:01
cb10481d-41bd-4c25-bcfd-bded76358e10,East Bradleymouth,1016,4982,2024-09-08 07:44:31
54bf4f1f-2eb2-40b4-98ac-53bdc14cb279,Williamstown,1009,2032,2024-08-27 03:21:12
05006ffb-cd2f-472e-83d4-23b4bf09ce54,New Thomas,1021,1855,2024-02-17 21:08:26
e2bd8431-9129-488e-9a1f-22ff9da510b5,Skinnerborough,1029,3102,2024-09-15 02:05:18
aeef68db-523c-4aed-a8c0-6935315381c9,Davidville,1032,628,2024-06-09 06:30:22
e1a9448a-7cbd-4361-8efd-20fb713aeabd,Evansside,1021,230,2024-03-19 08:59:35
9fa4ac00-30e8-4eb1-a026-3e1cd9311749,New Eleanorland,1005,941,2024-10-03 04:37:11
9f55a04c-fcac-42ff-91cf-ca6bc03feb7e,Maryport,1016,703,2024-05-21 14:50:06
9b300609-fd6c-42e7-9130-f5116d2e3929,Gibbsbury,1007,1252,2024-12-10 07:53:23
bcbd3d5e-9ecb-41df-88f3-d0317c653858,West Danielview,1007,153,2024-06-25 10:13:15
3905178b-4733-4173-94e8-b274e2b74f8a,South Keithhaven,1041,490,2024-09-14 04:56:37
37b5afda-e023-4a35-8db3-5d4e5ad47be9,East Stuart,1037,1780,2024-11-07 12:54:02
4bb5a871-0398-429b-8ba9-233b68c47397,New Kate,1040,4298,2024-02-11 06:12:57
6c8914d3-b97a-4b52-99cb-5430b08ac11d,New Andrea,1009,712,2024-01-16 20:42:18
5c0503ff-a831-4ac4-a2b6-5a3fbbef0edc,New Gregory,1017,2518,2024-05-22 05:44:18
49eb4082-1eac-4c78-bda4-688e36b7e402,Lawrenceport,1009,4274,2024-04-12 17:40:19
08d529d5-cde2-48d6-86ce-67b7e2b4f342,South Hazelshire,1015,3248,2024-09-27 20:07:31
51b35f98-92ed-4b69-ad9e-fe5c9d962d38,East Sarah,1007,2195,2024-04-06 15:09:11
